DATE,ACMY01,ACMY02,ACMY03,ACMY04,ACMY05,ACMY06,ACMY07,ACMY08,ACMY09,ACMY10
30/06/1961,2.896622,3.268067,3.493468,3.628774,3.712066,3.765877,3.802894,3.830017,3.850853,3.867175
31/07/1961,2.760908,3.221295,3.50211,3.676559,3.7893,3.866182,3.921782,3.964177,3.997756,4.024838
31/08/1961,2.982261,3.387344,3.63716,3.788823,3.882896,3.94387,3.985732,4.016203,4.039402,4.057426
29/09/1961,2.921893,3.316103,3.536204,3.664388,3.743451,3.795811,3.833237,3.861839,3.884693,3.903248
31/10/1961,2.875098,3.23071,3.459681,3.607929,3.707355,3.777644,3.830261,3.871643,3.905288,3.933017
30/11/1961,2.969556,3.284835,3.530645,3.688402,3.781799,3.834879,3.864286,3.880132,3.888126,3.891289
29/12/1961,3.101711,3.401561,3.639582,3.782139,3.853794,3.8819,3.885684,3.876797,3.861726,3.843798
31/01/1962,3.165178,3.559552,3.763596,3.872594,3.93323,3.969008,3.991852,4.007731,4.0195,4.028379
28/02/1962,3.056284,3.335178,3.511791,3.624826,3.700227,3.753677,3.794117,3.826418,3.853093,3.875335
30/03/1962,2.875869,3.15075,3.349681,3.490428,3.592445,3.669675,3.730857,3.781122,3.823349,3.859087
30/04/1962,2.919189,3.23533,3.41408,3.520078,3.587061,3.632833,3.666739,3.693574,3.715678,3.734077
31/05/1962,2.851302,3.132416,3.340299,3.490147,3.600561,3.685259,3.752983,3.808945,3.856129,3.896183
29/06/1962,3.043358,3.294668,3.503322,3.650266,3.750389,3.819835,3.870008,3.907937,3.937652,3.961334
31/07/1962,3.113595,3.387908,3.576951,3.705687,3.795995,3.862568,3.914296,3.956255,3.991203,4.020558
31/08/1962,2.96045,3.130065,3.338258,3.511062,3.64367,3.74531,3.825107,3.889522,3.942643,3.986919
28/09/1962,2.841642,3.063933,3.29947,3.487403,3.628867,3.735948,3.819233,3.885967,3.940682,3.986087
31/10/1962,2.819372,3.089784,3.3156,3.487357,3.617329,3.718243,3.799211,3.866035,3.922215,3.969807
30/11/1962,2.947661,3.142982,3.330223,3.481051,3.59914,3.693053,3.769775,3.833966,3.88849,3.93503
31/12/1962,3.007158,3.167923,3.306997,3.425897,3.52849,3.618171,3.697357,3.767614,3.829911,3.884825
31/01/1963,2.872495,3.14534,3.37359,3.533664,3.641678,3.715541,3.767991,3.806924,3.836908,3.860445
28/02/1963,2.80704,3.158506,3.398101,3.560752,3.674606,3.758146,3.822545,3.874272,3.916959,3.952588
29/03/1963,2.952486,3.204732,3.413054,3.568798,3.684512,3.772907,3.842957,3.900279,3.948189,3.98857
30/04/1963,2.943374,3.203335,3.420331,3.576237,3.685365,3.763385,3.821453,3.866511,3.902595,3.931933
31/05/1963,3.017559,3.268007,3.479227,3.628477,3.730089,3.80035,3.850889,3.888911,3.918564,3.942099
28/06/1963,2.999609,3.284951,3.515659,3.674707,3.780633,3.852204,3.902455,3.939375,3.967545,3.989458
31/07/1963,3.264588,3.514923,3.67851,3.778194,3.83884,3.877093,3.902771,3.921252,3.935276,3.946086
30/08/1963,3.401048,3.59398,3.725498,3.813424,3.874086,3.91847,3.953094,3.981515,4.005507,4.025829
30/09/1963,3.388992,3.57457,3.720939,3.822837,3.892742,3.942316,3.979382,4.008549,4.032296,4.051822
31/10/1963,3.479838,3.651903,3.779202,3.869885,3.936053,3.986794,4.02777,4.062168,4.091622,4.116859
29/11/1963,3.547172,3.695368,3.815679,3.893885,3.94191,3.971612,3.990898,4.004309,4.014164,4.021468
31/12/1963,3.625309,3.802897,3.912126,3.974928,4.011284,4.03353,4.048496,4.059644,4.068516,4.075604
31/01/1964,3.5169,3.749684,3.887926,3.967475,4.014251,4.0434,4.063183,4.077841,4.089361,4.098507
28/02/1964,3.585873,3.913201,4.014431,4.041187,4.052549,4.065008,4.081387,4.100738,4.12139,4.141792
31/03/1964,3.683731,4.014289,4.104157,4.124585,4.132953,4.144119,4.160044,4.179354,4.200164,4.220814
30/04/1964,3.597365,3.849085,3.983651,4.057982,4.101623,4.129657,4.149679,4.165352,4.178277,4.188981
28/05/1964,3.603242,3.834797,3.947455,4.006782,4.041413,4.064484,4.082051,4.096768,4.109606,4.120713
30/06/1964,3.532908,3.768531,3.887707,3.95236,3.990783,4.016453,4.035799,4.051752,4.065471,4.077221
31/07/1964,3.490782,3.662654,3.7981,3.900639,3.979765,4.043227,4.096069,4.141242,4.180342,4.214147
31/08/1964,3.60577,3.755658,3.870099,3.953655,4.016048,4.064927,4.105119,4.13933,4.168919,4.194454
30/09/1964,3.649094,3.816031,3.916614,3.977625,4.016476,4.043378,4.063876,4.080725,4.095102,4.107328
30/10/1964,3.677068,3.824315,3.917794,3.976363,4.014565,4.041526,4.062359,4.079639,4.094466,4.107127
30/11/1964,3.929161,3.999974,4.048097,4.075293,4.090075,4.098719,4.104777,4.109882,4.114516,4.118541
31/12/1964,3.75857,3.879715,3.976893,4.037594,4.073153,4.094075,4.107099,4.115938,4.122363,4.127021
29/01/1965,3.800172,3.862116,3.917949,3.970964,4.021721,4.070115,4.115852,4.158555,4.197814,4.233219
26/02/1965,3.913019,3.958958,3.999426,4.037061,4.072966,4.107524,4.140682,4.172119,4.201371,4.227926
31/03/1965,3.824803,3.934249,4.015193,4.0679,4.101836,4.124891,4.141979,4.15571,4.167234,4.176867
30/04/1965,3.820491,3.918609,3.997282,4.048442,4.080225,4.100618,4.114825,4.125678,4.13446,4.141551
28/05/1965,3.845508,3.915689,3.996507,4.053052,4.088177,4.109621,4.123289,4.132679,4.139532,4.144515
30/06/1965,3.752432,3.840539,3.942383,4.016342,4.064606,4.095782,4.116728,4.131671,4.142857,4.151296
30/07/1965,3.793593,3.9062,4.000951,4.063884,4.103395,4.128652,4.145861,4.158541,4.168414,4.176136
31/08/1965,3.920785,4.017499,4.092916,4.139337,4.166264,4.18219,4.192441,4.199836,4.205603,4.210061
30/09/1965,4.143567,4.171632,4.19567,4.220297,4.246229,4.273093,4.300203,4.326783,4.352054,4.375285
29/10/1965,4.110655,4.159291,4.23174,4.285923,4.321173,4.34372,4.35882,4.369687,4.377939,4.38419
30/11/1965,4.216071,4.260995,4.326939,4.372646,4.399551,4.414593,4.423148,4.428356,4.431717,4.433729
31/12/1965,4.713861,4.745207,4.758286,4.761249,4.761065,4.761062,4.762421,4.765185,4.768843,4.772653
31/01/1966,4.670292,4.758903,4.796033,4.810854,4.817452,4.821846,4.826331,4.831458,4.836975,4.842286
28/02/1966,4.650843,4.890472,4.965319,4.982688,4.988967,4.99719,5.009402,5.024589,5.041156,5.057625
31/03/1966,4.565389,4.711614,4.749425,4.754365,4.754628,4.757791,4.764763,4.774557,4.785806,4.797216
29/04/1966,4.67496,4.767441,4.793999,4.799047,4.799835,4.80179,4.806055,4.812258,4.819535,4.826916
31/05/1966,4.921918,4.886688,4.887119,4.893179,4.895691,4.894962,4.892776,4.890309,4.887946,4.885524
30/06/1966,4.907735,4.986595,5.014274,5.024301,5.028384,5.03129,5.03477,5.03914,5.04404,5.04882
29/07/1966,5.018465,5.108586,5.153991,5.176135,5.187498,5.194497,5.200109,5.205436,5.2106,5.215239
31/08/1966,5.480806,5.591828,5.617231,5.614464,5.610012,5.610484,5.61602,5.625101,5.636021,5.64728
30/09/1966,5.284878,5.291224,5.289593,5.282367,5.276157,5.27313,5.273352,5.276069,5.280258,5.284867
31/10/1966,5.226962,5.178,5.165755,5.159898,5.155019,5.151044,5.148434,5.147216,5.146987,5.147091
30/11/1966,5.227401,5.216366,5.224189,5.229035,5.230314,5.23016,5.230075,5.23061,5.231645,5.232689
30/12/1966,4.739548,4.733463,4.729917,4.723441,4.717747,4.714553,4.714104,4.715889,4.719064,4.722689
31/01/1967,4.402596,4.463456,4.516735,4.54908,4.566958,4.576936,4.583153,4.587705,4.591383,4.594238
28/02/1967,4.435275,4.607792,4.65822,4.665582,4.666369,4.670555,4.679316,4.691418,4.705219,4.719228
31/03/1967,3.969119,4.092525,4.209677,4.288574,4.337126,4.366563,4.384948,4.397069,4.405438,4.411184
28/04/1967,3.969088,4.209326,4.397977,4.524042,4.605206,4.658135,4.694058,4.719676,4.738697,4.753024
31/05/1967,4.015639,4.307818,4.477028,4.576413,4.637292,4.677097,4.70523,4.726582,4.743545,4.75716
