Date,MaturityYear,YieldValue
30/06/1961,1.0,2.896622
30/06/1961,2.0,3.268067
30/06/1961,3.0,3.493468
30/06/1961,4.0,3.628774
30/06/1961,5.0,3.712066
30/06/1961,6.0,3.765877
30/06/1961,7.0,3.802894
30/06/1961,8.0,3.830017
30/06/1961,9.0,3.850853
30/06/1961,10.0,3.867175
31/07/1961,1.0,2.760908
31/07/1961,2.0,3.221295
31/07/1961,3.0,3.50211
31/07/1961,4.0,3.676559
31/07/1961,5.0,3.7893
31/07/1961,6.0,3.866182
31/07/1961,7.0,3.921782
31/07/1961,8.0,3.964177
31/07/1961,9.0,3.997756
31/07/1961,10.0,4.024838
31/08/1961,1.0,2.982261
31/08/1961,2.0,3.387344
31/08/1961,3.0,3.63716
31/08/1961,4.0,3.788823
31/08/1961,5.0,3.882896
31/08/1961,6.0,3.94387
31/08/1961,7.0,3.985732
31/08/1961,8.0,4.016203
31/08/1961,9.0,4.039402
31/08/1961,10.0,4.057426
29/09/1961,1.0,2.921893
29/09/1961,2.0,3.316103
29/09/1961,3.0,3.536204
29/09/1961,4.0,3.664388
29/09/1961,5.0,3.743451
29/09/1961,6.0,3.795811
29/09/1961,7.0,3.833237
29/09/1961,8.0,3.861839
29/09/1961,9.0,3.884693
29/09/1961,10.0,3.903248
31/10/1961,1.0,2.875098
31/10/1961,2.0,3.23071
31/10/1961,3.0,3.459681
31/10/1961,4.0,3.607929
31/10/1961,5.0,3.707355
31/10/1961,6.0,3.777644
31/10/1961,7.0,3.830261
31/10/1961,8.0,3.871643
31/10/1961,9.0,3.905288
31/10/1961,10.0,3.933017
30/11/1961,1.0,2.969556
30/11/1961,2.0,3.284835
30/11/1961,3.0,3.530645
30/11/1961,4.0,3.688402
30/11/1961,5.0,3.781799
30/11/1961,6.0,3.834879
30/11/1961,7.0,3.864286
30/11/1961,8.0,3.880132
30/11/1961,9.0,3.888126
30/11/1961,10.0,3.891289
29/12/1961,1.0,3.101711
29/12/1961,2.0,3.401561
29/12/1961,3.0,3.639582
29/12/1961,4.0,3.782139
29/12/1961,5.0,3.853794
29/12/1961,6.0,3.8819
29/12/1961,7.0,3.885684
29/12/1961,8.0,3.876797
29/12/1961,9.0,3.861726
29/12/1961,10.0,3.843798
31/01/1962,1.0,3.165178
31/01/1962,2.0,3.559552
31/01/1962,3.0,3.763596
31/01/1962,4.0,3.872594
31/01/1962,5.0,3.93323
31/01/1962,6.0,3.969008
31/01/1962,7.0,3.991852
31/01/1962,8.0,4.007731
31/01/1962,9.0,4.0195
31/01/1962,10.0,4.028379
28/02/1962,1.0,3.056284
28/02/1962,2.0,3.335178
28/02/1962,3.0,3.511791
28/02/1962,4.0,3.624826
28/02/1962,5.0,3.700227
28/02/1962,6.0,3.753677
28/02/1962,7.0,3.794117
28/02/1962,8.0,3.826418
28/02/1962,9.0,3.853093
28/02/1962,10.0,3.875335
30/03/1962,1.0,2.875869
30/03/1962,2.0,3.15075
30/03/1962,3.0,3.349681
30/03/1962,4.0,3.490428
30/03/1962,5.0,3.592445
30/03/1962,6.0,3.669675
30/03/1962,7.0,3.730857
30/03/1962,8.0,3.781122
30/03/1962,9.0,3.823349
30/03/1962,10.0,3.859087
30/04/1962,1.0,2.919189
30/04/1962,2.0,3.23533
30/04/1962,3.0,3.41408
30/04/1962,4.0,3.520078
30/04/1962,5.0,3.587061
30/04/1962,6.0,3.632833
30/04/1962,7.0,3.666739
30/04/1962,8.0,3.693574
30/04/1962,9.0,3.715678
30/04/1962,10.0,3.734077
31/05/1962,1.0,2.851302
31/05/1962,2.0,3.132416
31/05/1962,3.0,3.340299
31/05/1962,4.0,3.490147
31/05/1962,5.0,3.600561
31/05/1962,6.0,3.685259
31/05/1962,7.0,3.752983
31/05/1962,8.0,3.808945
31/05/1962,9.0,3.856129
31/05/1962,10.0,3.896183
29/06/1962,1.0,3.043358
29/06/1962,2.0,3.294668
29/06/1962,3.0,3.503322
29/06/1962,4.0,3.650266
29/06/1962,5.0,3.750389
29/06/1962,6.0,3.819835
29/06/1962,7.0,3.870008
29/06/1962,8.0,3.907937
29/06/1962,9.0,3.937652
29/06/1962,10.0,3.961334
31/07/1962,1.0,3.113595
31/07/1962,2.0,3.387908
31/07/1962,3.0,3.576951
31/07/1962,4.0,3.705687
31/07/1962,5.0,3.795995
31/07/1962,6.0,3.862568
31/07/1962,7.0,3.914296
31/07/1962,8.0,3.956255
31/07/1962,9.0,3.991203
31/07/1962,10.0,4.020558
31/08/1962,1.0,2.96045
31/08/1962,2.0,3.130065
31/08/1962,3.0,3.338258
31/08/1962,4.0,3.511062
31/08/1962,5.0,3.64367
31/08/1962,6.0,3.74531
31/08/1962,7.0,3.825107
31/08/1962,8.0,3.889522
31/08/1962,9.0,3.942643
31/08/1962,10.0,3.986919
28/09/1962,1.0,2.841642
28/09/1962,2.0,3.063933
28/09/1962,3.0,3.29947
28/09/1962,4.0,3.487403
28/09/1962,5.0,3.628867
28/09/1962,6.0,3.735948
28/09/1962,7.0,3.819233
28/09/1962,8.0,3.885967
28/09/1962,9.0,3.940682
28/09/1962,10.0,3.986087
31/10/1962,1.0,2.819372
31/10/1962,2.0,3.089784
31/10/1962,3.0,3.3156
31/10/1962,4.0,3.487357
31/10/1962,5.0,3.617329
31/10/1962,6.0,3.718243
31/10/1962,7.0,3.799211
31/10/1962,8.0,3.866035
31/10/1962,9.0,3.922215
